feature,importance
wavelet_std_d1,0.056956583689284274
wavelet_energy_d1,0.04812428556054119
age,0.04682665176007689
wavelet_energy_a4,0.04545970597625194
PR_segment_max,0.025402646636366995
PR_segment_mean,0.022808871632019848
relative_path_y,0.022011888087446026
ST_slope_min,0.02127734179783504
ST_slope_mean,0.020989158292969972
QT_interval_max,0.02022636360849217
P_wave_duration_mean,0.02002372529065466
relative_path_x,0.020000177847260214
QT_interval_mean,0.019669633911152864
wavelet_energy_d3,0.018824883761217652
wavelet_energy_d4,0.018414968792625816
PR_interval_mean,0.018301898133279534
HRV_MCVNN,0.017443751304458587
ST_slope_max,0.01731369984229547
wavelet_std_d3,0.016622850523853077
QT_interval_std,0.01638522149713467
ST_segment_mean,0.016380872420637883
P_wave_duration_max,0.015924509116435316
wavelet_std_d2,0.015915906129521696
HRV_SDRMSSD,0.014872572997818688
ST_segment_std,0.014671471122525603
QT_interval_min,0.014598718113421163
ST_segment_max,0.014462978731423416
HRV_CVNN,0.014442595820273308
PR_segment_std,0.014399571570253483
wavelet_energy_d2,0.014305272364745209
wavelet_std_a4,0.014286331505517565
PR_interval_max,0.014105574189036017
wavelet_std_d4,0.013867334078154346
ST_segment_min,0.013778353384366698
QRS_duration_mean,0.013712905616647939
HRV_RMSSD,0.013623937906422415
P_wave_duration_min,0.013200700359738414
PR_segment_min,0.013195352205552919
HRV_CVSD,0.013193736348686428
PR_interval_std,0.013171999099324413
QRS_duration_min,0.013023978266764305
P_wave_duration_std,0.01236877629294906
QRS_duration_std,0.012160822581416623
HRV_SDNN,0.011703676079075588
ST_slope_std,0.011520107483800748
QRS_duration_max,0.011149515996286111
HRV_SDSD,0.011046364658513965
HRV_HTI,0.010812110682930086
HRV_MaxNN,0.010801107735875167
PR_interval_min,0.010620452881566838
HRV_MinNN,0.010543914765096514
HRV_MeanNN,0.010425922350529434
HRV_IQRNN,0.010092769964805296
HRV_MedianNN,0.00994332096601107
HRV_Prc80NN,0.009932008328728913
HRV_Prc20NN,0.009868448474757326
HRV_MadNN,0.008896508843210329
HRV_pNN50,0.006243673343362226
HRV_pNN20,0.005421331405329537
HRV_TINN,0.0042301878732707975
