exam_id,relative_path,num_nans
744992,744992,6
1530128,1530128,6
4233533,4233533,6
860717,860717,6
1107158,1107158,6
1089121,1089121,6
1576814,1576814,6
1184733,1184733,6
1585601,1585601,6
1508126,1508126,6
3211445,3211445,6
1320283,1320283,6
802547,802547,6
4413528,4413528,6
2976178,2976178,6
72038,72038,6
1351465,1351465,6
1531836,1531836,6
2994517,2994517,6
214325,214325,6
1309008,1309008,6
1365829,1365829,6
4267999,4267999,6
3104045,3104045,6
4259088,4259088,6
111920,111920,6
1136165,1136165,6
2508046,2508046,6
688167,688167,6
862110,862110,6
966743,966743,6
2941865,2941865,6
1041329,1041329,6
1344948,1344948,6
1589514,1589514,6
1148916,1148916,6
2734687,2734687,6
2875795,2875795,6
81569,81569,6
697005,697005,13
798339,798339,6
270209,270209,6
4195290,4195290,6
1543136,1543136,6
380610,380610,6
255901,255901,6
675151,675151,6
3038860,3038860,6
2741269,2741269,6
3166329,3166329,6
1334271,1334271,6
4409037,4409037,6
1138596,1138596,6
8365,8365,13
549446,549446,6
1551089,1551089,6
1331464,1331464,6
1636872,1636872,6
4199616,4199616,6
1369737,1369737,6
1227940,1227940,6
358057,358057,6
646344,646344,6
3160486,3160486,6
3403468,3403468,6
1353958,1353958,6
1493874,1493874,6
1510036,1510036,6
1364840,1364840,13
1599986,1599986,6
750868,750868,6
3183422,3183422,6
583556,583556,6
677505,677505,6
1286234,1286234,6
3222324,3222324,6
1356260,1356260,6
692195,692195,6
985756,985756,6
1145424,1145424,6
1552623,1552623,6
403667,403667,6
701589,701589,6
619325,619325,6
3021083,3021083,6
68752,68752,6
1023151,1023151,6
1259364,1259364,6
1351248,1351248,6
566074,566074,6
1226830,1226830,6
3228312,3228312,6
293761,293761,6
283492,283492,6
283476,283476,6
1206911,1206911,6
1626330,1626330,6
1122991,1122991,6
400060,400060,6
255701,255701,6
3111289,3111289,6
1517621,1517621,6
696725,696725,6
561884,561884,6
842261,842261,6
3409680,3409680,13
1564030,1564030,13
871308,871308,6
1597228,1597228,6
1179068,1179068,6
280261,280261,6
474104,474104,6
3047403,3047403,6
705889,705889,6
1315705,1315705,6
254463,254463,6
1145493,1145493,6
1075183,1075183,6
1390432,1390432,6
3200290,3200290,6
891747,891747,6
1340075,1340075,6
183548,183548,6
1021618,1021618,6
1251150,1251150,6
114085,114085,6
1455999,1455999,6
952326,952326,6
553863,553863,6
605223,605223,6
4202109,4202109,6
168971,168971,6
2999934,2999934,6
1051634,1051634,6
2833268,2833268,6
581354,581354,6
396923,396923,6
774346,774346,6
3211821,3211821,6
4255369,4255369,6
1498611,1498611,6
992024,992024,6
3142792,3142792,6
2538029,2538029,6
2784638,2784638,6
983482,983482,6
520240,520240,6
370201,370201,6
293791,293791,6
3412125,3412125,6
1441217,1441217,6
4395751,4395751,6
10508,10508,6
1197362,1197362,6
589435,589435,6
698963,698963,6
737300,737300,6
2786622,2786622,6
766120,766120,6
772179,772179,6
1286010,1286010,6
36161,36161,6
31352,31352,6
394546,394546,6
1234034,1234034,6
524683,524683,6
1480086,1480086,6
1489984,1489984,6
76580,76580,6
3079092,3079092,6
859274,859274,6
969012,969012,6
188608,188608,6
2849204,2849204,6
965845,965845,6
618542,618542,6
1335585,1335585,6
327843,327843,6
1467135,1467135,6
3073495,3073495,6
2766401,2766401,6
628337,628337,6
968170,968170,6
1366021,1366021,6
1676897,1676897,6
964974,964974,6
1521702,1521702,13
1096926,1096926,6
1404459,1404459,6
608225,608225,6
1467600,1467600,6
1443310,1443310,6
2909546,2909546,6
1294719,1294719,6
793467,793467,6
1567387,1567387,6
779357,779357,6
1364686,1364686,6
116100,116100,6
1597154,1597154,6
3143742,3143742,6
1388043,1388043,6
1620505,1620505,6
1494937,1494937,6
654040,654040,6
4274214,4274214,6
477164,477164,6
270700,270700,6
150864,150864,6
555995,555995,6
165581,165581,6
708719,708719,6
792199,792199,6
994495,994495,6
232435,232435,6
2830095,2830095,6
113516,113516,6
1346763,1346763,6
85479,85479,6
1051819,1051819,6
3082047,3082047,6
75276,75276,6
817166,817166,6
793624,793624,6
1342534,1342534,6
2679219,2679219,6
1291449,1291449,6
28016,28016,6
3014310,3014310,6
89681,89681,6
3628183,3628183,6
389706,389706,6
3167881,3167881,6
1544320,1544320,16
779021,779021,6
956841,956841,6
2536510,2536510,6
896849,896849,6
728484,728484,6
1659755,1659755,6
2761867,2761867,13
1300571,1300571,6
900355,900355,6
1550220,1550220,6
47033,47033,6
375633,375633,6
1616142,1616142,6
2983363,2983363,6
1599053,1599053,6
508581,508581,6
903837,903837,6
1170705,1170705,6
1359282,1359282,6
3092042,3092042,6
858568,858568,6
2850022,2850022,6
257812,257812,6
927035,927035,6
513620,513620,6
743856,743856,6
3410674,3410674,6
1528288,1528288,6
570917,570917,6
393979,393979,6
55828,55828,6
307029,307029,6
2519427,2519427,6
374311,374311,6
700985,700985,6
3201356,3201356,6
718889,718889,6
184012,184012,6
269850,269850,6
1403390,1403390,6
1076752,1076752,6
630645,630645,6
1320164,1320164,6
845125,845125,6
3062364,3062364,6
475153,475153,6
895160,895160,6
456236,456236,6
1505455,1505455,6
456953,456953,6
2842740,2842740,6
3630331,3630331,6
780511,780511,6
1568971,1568971,6
