exam_id,relative_path,num_nans
00076,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00076_lr,42
00077,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00077_lr,42
00078,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00078_lr,42
00079,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00079_lr,44
00080,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00080_lr,42
00081,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00081_lr,42
00082,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00082_lr,42
00083,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00083_lr,42
00084,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00084_lr,42
00085,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00085_lr,42
00086,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00086_lr,42
00087,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00087_lr,42
00088,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00088_lr,42
00089,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00000/00089_lr,42
01995,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00001/01995_lr,42
01996,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00001/01996_lr,42
01997,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00001/01997_lr,42
01998,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00001/01998_lr,42
01999,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/00001/01999_lr,42
00001,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00001_hr,42
00002,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00002_hr,42
00003,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00003_hr,42
00004,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00004_hr,42
00005,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00005_hr,42
00006,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00006_hr,42
00007,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00007_hr,42
00008,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00008_hr,42
00009,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00009_hr,42
00010,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00010_hr,42
00011,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00011_hr,42
00012,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00012_hr,42
00013,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00013_hr,42
00014,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00014_hr,42
00015,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00015_hr,42
00016,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00016_hr,42
00017,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00017_hr,42
00018,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00018_hr,42
00019,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00019_hr,42
00020,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00020_hr,42
00021,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00021_hr,42
00022,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00022_hr,42
00023,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00023_hr,66
00024,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00024_hr,42
00025,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/00000/00025_hr,42
01000,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/01000/01000_hr,42
01001,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/01000/01001_hr,42
01002,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/01000/01002_hr,42
01003,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/01000/01003_hr,42
01004,ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/01000/01004_hr,42
100726,samitrop/samitrop_unzipped/100726,42
101193,samitrop/samitrop_unzipped/101193,42
101282,samitrop/samitrop_unzipped/101282,42
101842,samitrop/samitrop_unzipped/101842,42
102640,samitrop/samitrop_unzipped/102640,42
103042,samitrop/samitrop_unzipped/103042,42
103725,samitrop/samitrop_unzipped/103725,42
104023,samitrop/samitrop_unzipped/104023,42
105443,samitrop/samitrop_unzipped/105443,42
106689,samitrop/samitrop_unzipped/106689,44
107019,samitrop/samitrop_unzipped/107019,42
107956,samitrop/samitrop_unzipped/107956,42
108413,samitrop/samitrop_unzipped/108413,42
111288,samitrop/samitrop_unzipped/111288,42
112145,samitrop/samitrop_unzipped/112145,42
112408,samitrop/samitrop_unzipped/112408,42
115645,samitrop/samitrop_unzipped/115645,42
116961,samitrop/samitrop_unzipped/116961,42
117538,samitrop/samitrop_unzipped/117538,42
117986,samitrop/samitrop_unzipped/117986,56
119415,samitrop/samitrop_unzipped/119415,42
121673,samitrop/samitrop_unzipped/121673,42
129191,samitrop/samitrop_unzipped/129191,42
129851,samitrop/samitrop_unzipped/129851,42
130102,samitrop/samitrop_unzipped/130102,42
133273,samitrop/samitrop_unzipped/133273,42
133304,samitrop/samitrop_unzipped/133304,42
134634,samitrop/samitrop_unzipped/134634,42
134793,samitrop/samitrop_unzipped/134793,42
135830,samitrop/samitrop_unzipped/135830,42
135833,samitrop/samitrop_unzipped/135833,42
137001,samitrop/samitrop_unzipped/137001,42
138534,samitrop/samitrop_unzipped/138534,42
141452,samitrop/samitrop_unzipped/141452,42
141475,samitrop/samitrop_unzipped/141475,42
141628,samitrop/samitrop_unzipped/141628,42
141879,samitrop/samitrop_unzipped/141879,42
142272,samitrop/samitrop_unzipped/142272,42
142487,samitrop/samitrop_unzipped/142487,42
142738,samitrop/samitrop_unzipped/142738,42
142852,samitrop/samitrop_unzipped/142852,42
143027,samitrop/samitrop_unzipped/143027,42
143058,samitrop/samitrop_unzipped/143058,42
145323,samitrop/samitrop_unzipped/145323,42
146494,samitrop/samitrop_unzipped/146494,42
146856,samitrop/samitrop_unzipped/146856,42
148623,samitrop/samitrop_unzipped/148623,42
149079,samitrop/samitrop_unzipped/149079,42
149836,samitrop/samitrop_unzipped/149836,42
150631,samitrop/samitrop_unzipped/150631,42
150686,samitrop/samitrop_unzipped/150686,42
151644,samitrop/samitrop_unzipped/151644,56
152562,samitrop/samitrop_unzipped/152562,42
154510,samitrop/samitrop_unzipped/154510,42
156187,samitrop/samitrop_unzipped/156187,56
158100,samitrop/samitrop_unzipped/158100,42
158419,samitrop/samitrop_unzipped/158419,42
160764,samitrop/samitrop_unzipped/160764,42
161926,samitrop/samitrop_unzipped/161926,42
162030,samitrop/samitrop_unzipped/162030,44
163280,samitrop/samitrop_unzipped/163280,42
163569,samitrop/samitrop_unzipped/163569,42
163731,samitrop/samitrop_unzipped/163731,42
164072,samitrop/samitrop_unzipped/164072,42
165959,samitrop/samitrop_unzipped/165959,42
169272,samitrop/samitrop_unzipped/169272,44
169345,samitrop/samitrop_unzipped/169345,42
170822,samitrop/samitrop_unzipped/170822,42
172108,samitrop/samitrop_unzipped/172108,42
172488,samitrop/samitrop_unzipped/172488,56
172510,samitrop/samitrop_unzipped/172510,42
173464,samitrop/samitrop_unzipped/173464,56
175346,samitrop/samitrop_unzipped/175346,42
175594,samitrop/samitrop_unzipped/175594,42
175701,samitrop/samitrop_unzipped/175701,42
177005,samitrop/samitrop_unzipped/177005,42
177414,samitrop/samitrop_unzipped/177414,42
177913,samitrop/samitrop_unzipped/177913,42
178759,samitrop/samitrop_unzipped/178759,42
178816,samitrop/samitrop_unzipped/178816,42
179724,samitrop/samitrop_unzipped/179724,42
181629,samitrop/samitrop_unzipped/181629,42
181736,samitrop/samitrop_unzipped/181736,42
181819,samitrop/samitrop_unzipped/181819,42
181936,samitrop/samitrop_unzipped/181936,42
181992,samitrop/samitrop_unzipped/181992,42
182574,samitrop/samitrop_unzipped/182574,42
182811,samitrop/samitrop_unzipped/182811,42
183278,samitrop/samitrop_unzipped/183278,42
184107,samitrop/samitrop_unzipped/184107,42
184185,samitrop/samitrop_unzipped/184185,42
184801,samitrop/samitrop_unzipped/184801,42
185588,samitrop/samitrop_unzipped/185588,42
186136,samitrop/samitrop_unzipped/186136,42
186505,samitrop/samitrop_unzipped/186505,42
189239,samitrop/samitrop_unzipped/189239,42
191088,samitrop/samitrop_unzipped/191088,42
192549,samitrop/samitrop_unzipped/192549,42
195121,samitrop/samitrop_unzipped/195121,42
196660,samitrop/samitrop_unzipped/196660,42
196843,samitrop/samitrop_unzipped/196843,42
197531,samitrop/samitrop_unzipped/197531,42
197560,samitrop/samitrop_unzipped/197560,42
197647,samitrop/samitrop_unzipped/197647,42
199009,samitrop/samitrop_unzipped/199009,42
