exam_id,relative_path,num_nans
137362,code15/137362,6
901312,code15/901312,6
114085,code15/114085,6
987055,code15/987055,6
3187575,code15/3187575,6
1654515,code15/1654515,6
1223778,code15/1223778,6
1229032,code15/1229032,6
1422247,code15/1422247,6
154125,code15/154125,6
663804,code15/663804,6
2830072,code15/2830072,6
3166116,code15/3166116,6
1094965,code15/1094965,6
1467572,code15/1467572,6
2903530,code15/2903530,6
1417960,code15/1417960,6
4388212,code15/4388212,6
70510,code15/70510,6
1644495,code15/1644495,6
358404,code15/358404,6
1337754,code15/1337754,6
917597,code15/917597,6
5892,code15/5892,6
520663,code15/520663,6
919008,code15/919008,6
976122,code15/976122,6
3202164,code15/3202164,6
547095,code15/547095,6
494093,code15/494093,6
1384441,code15/1384441,6
325758,code15/325758,6
3055746,code15/3055746,6
1368772,code15/1368772,6
1607966,code15/1607966,6
1521702,code15/1521702,13
1295117,code15/1295117,6
895160,code15/895160,6
1224989,code15/1224989,6
871116,code15/871116,6
1447205,code15/1447205,6
1358417,code15/1358417,6
515822,code15/515822,6
345323,code15/345323,6
806738,code15/806738,6
2909305,code15/2909305,6
805394,code15/805394,6
1021618,code15/1021618,6
1611965,code15/1611965,6
297853,code15/297853,6
2763008,code15/2763008,6
4248922,code15/4248922,6
2769408,code15/2769408,6
1415275,code15/1415275,6
860515,code15/860515,6
744752,code15/744752,6
2660325,code15/2660325,6
3167254,code15/3167254,13
1036782,code15/1036782,6
2912406,code15/2912406,6
436437,code15/436437,6
822361,code15/822361,6
833254,code15/833254,6
879529,code15/879529,6
1467600,code15/1467600,6
3402811,code15/3402811,6
4219375,code15/4219375,6
13028,code15/13028,6
4234801,code15/4234801,6
636146,code15/636146,6
1356997,code15/1356997,6
2776433,code15/2776433,13
4265474,code15/4265474,6
1411959,code15/1411959,6
1478489,code15/1478489,6
292962,code15/292962,6
48959,code15/48959,6
13030,code15/13030,6
361965,code15/361965,6
902864,code15/902864,6
1517677,code15/1517677,6
2784346,code15/2784346,6
171449,code15/171449,6
4249226,code15/4249226,6
1329207,code15/1329207,6
1261321,code15/1261321,6
554494,code15/554494,6
4395810,code15/4395810,6
704853,code15/704853,6
2765893,code15/2765893,16
2762817,code15/2762817,6
2728116,code15/2728116,6
355060,code15/355060,6
880620,code15/880620,6
1327494,code15/1327494,6
3402396,code15/3402396,6
651915,code15/651915,6
